time,rfe,rfe_filled
1989-01-05,-999,.31
1989-01-10,.02,.02
1989-01-15,.00,.00
1989-01-20,.00,.00
1989-01-25,.00,.00
1989-01-31,.00,.00
1989-02-05,.00,.00
1989-02-10,.37,.37
1989-02-15,.39,.39
1989-02-20,.00,.00
1989-02-25,.01,.01
1989-02-28,.84,.84
1989-03-05,3.25,3.25
1989-03-10,3.26,3.26
1989-03-15,3.65,3.65
1989-03-20,4.89,4.89
1989-03-25,7.60,7.60
1989-03-31,10.04,10.04
1989-04-05,5.10,5.10
1989-04-10,4.68,4.68
1989-04-15,9.29,9.29
1989-04-20,13.67,13.67
1989-04-25,13.61,13.61
1989-04-30,19.72,19.72
1989-05-05,25.41,25.41
1989-05-10,25.12,25.12
1989-05-15,6.75,6.75
1989-05-20,11.22,11.22
1989-05-25,25.21,25.21
1989-05-31,18.54,18.54
1989-06-05,24.71,24.71
1989-06-10,28.82,28.82
1989-06-15,30.18,30.18
1989-06-20,29.90,29.90
1989-06-25,39.92,39.92
1989-06-30,46.20,46.20
1989-07-05,34.00,34.00
1989-07-10,33.71,33.71
1989-07-15,29.73,29.73
1989-07-20,24.84,24.84
1989-07-25,35.14,35.14
1989-07-31,53.05,53.05
1989-08-05,43.02,43.02
1989-08-10,51.45,51.45
1989-08-15,45.12,45.12
1989-08-20,39.92,39.92
1989-08-25,50.67,50.67
1989-08-31,42.11,42.11
1989-09-05,35.66,35.66
1989-09-10,46.57,46.57
1989-09-15,42.34,42.34
1989-09-20,38.74,38.74
1989-09-25,-999,27.49
1989-09-30,-999,27.43
1989-10-05,36.65,36.65
1989-10-10,21.50,21.50
1989-10-15,22.32,22.32
1989-10-20,20.66,20.66
1989-10-25,9.96,9.96
1989-10-31,10.45,10.45
1989-11-05,3.70,3.70
1989-11-10,6.55,6.55
1989-11-15,.90,.90
1989-11-20,.43,.43
1989-11-25,1.30,1.30
1989-11-30,2.91,2.91
1989-12-05,.13,.13
1989-12-10,.45,.45
1989-12-15,.32,.32
1989-12-20,.02,.02
1989-12-25,.40,.40
1989-12-31,1.03,1.03
1990-01-05,2.50,2.50
1990-01-10,.11,.11
1990-01-15,.05,.05
1990-01-20,.49,.49
1990-01-25,2.25,2.25
1990-01-31,.50,.50
1990-02-05,.69,.69
1990-02-10,.13,.13
1990-02-15,.21,.21
1990-02-20,3.46,3.46
